"id","created_at","created_by","campus","slug","name","aka","geoloc","type","image_url","description","address","postal_code","state","city","departments","rooms","country","last_updated_at","last_updated_by"
1805,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,branner-dining,Branner Dining,"{""Branner Dining"",Brannerdin}","{""lat"": 37.42579419, ""lon"": -122.16273455}","{""""}","","","",94305,CA,Stanford,"{""""}","{""""}",US,,
1673,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"02-550",D.School,"{02-550,""Building 550"",D.School,""Hasso Plattner Institute Of Design (D.School)"",""Mechanical Engineering Design Group"",""Peterson Laboratory"",Peterson,""Thomas F. Peterson Engineering Laboratory""}","{""lat"": 37.42630025, ""lon"": -122.17187851}","{""""}","","","416 Escondido Mall",94305,CA,Stanford,"{""""}","{550-200,550-230,550-260,""Gcep Conference Room""}",US,,
1669,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"02-400",Bechtel International Center,"{02-400,""Assembly Room"",""Bechtel Int'L Center"",""Bechtel International Center"",I.Ctr-Assemblyrm}","{""lat"": 37.42320545, ""lon"": -122.17242389}","{""""}","","","584 Capistrano Way",94305,CA,Stanford,"{""""}","{""""}",US,,
1702,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"02-950",Hillel - Ziff Center,"{02-950,""Hillel - Ziff Center"",Hillel,""Hillel - Ziff Center-Koret Pavilion"",""Jewish Life"",""Ziff Center""}","{""lat"": 37.42209446, ""lon"": -122.16795625}","{""""}","","","564 O'Connor Lane",94305,CA,Stanford,"{""""}","{""""}",US,,
1659,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,bcsc,Black Community Center Addition,"{Bcsc,""Black Community Center Addition""}","{""lat"": 37.42441642, ""lon"": -122.17266089}","{""""}","","","",94305,CA,Stanford,"{""""}","{""""}",US,,
1660,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"02-130",Black Performing Arts,"{02-130,""Black Performing Arts"",""Harmony House"",Harmony,""Ida Institute Diversity Arts""}","{""lat"": 37.42429009, ""lon"": -122.17305121}","{""""}","","","561 Lomita Drive",94305,CA,Stanford,"{""""}","{""""}",US,,
1662,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"02-140",Help Center,"{02-140,""Help Center"",""Office Of The Ombuds"",""Sexual Harassment Policy Office"",""Sexual Harassment Policy Office (Shpo)""}","{""lat"": 37.42390892, ""lon"": -122.17283829}","{""""}","","","419 Lagunita Drive",94305,CA,Stanford,"{""""}","{""""}",US,,
1679,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"02-595",Lorry Lokey Stanford Daily Building,"{02-595,Daily,""Lorry Lokey Stanford Daily Building"",""Stanford Daily""}","{""lat"": 37.42559185, ""lon"": -122.17066337}","{""""}","","","456 Panama Mall",94305,CA,Stanford,"{""""}","{""""}",US,,
1663,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"02-210",Adolph Baller Room,"{02-210,""Adolph Baller Room"",""Archive Of Recorded Sound"",B102,B103,B105,B106,B111,B120,B121,B201,B202,B204,B203,B211,""Baldo Chamber Hall"",""Braun Music Center"",""Braun Rehearsal Hall"",Braun102,Braun103,Braun106,Braun110,Braun111,Braun131,Braun201,Braun205,Braun211,Brh,""Campbell Recital Hall"",""Music Library"",""W. Loran And Mary Crosten Room""}","{""lat"": 37.42374459, ""lon"": -122.16943027}","{""""}","","","541 Lasuen Mall",94305,CA,Stanford,"{""""}","{""""}",US,,
1665,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"02-500",Archaeology Center,"{02-500,""Archaeology Center"",""Building 500"",""Frederick Emmons Terman Engineering Laboratory"",""Terman Engineering Center"",""Terman Lab"",""Terman Engineering Laboratory""}","{""lat"": 37.42591658, ""lon"": -122.16969562}","{""""}","","","488 Escondido Mall",94305,CA,Stanford,"{""""}","{""""}",US,,
