id,created_at,created_by,last_updated_at,last_updated_by,campus,slug,name,aka,geoloc,type,image_url,description,address,postal_code,state,city,departments,rooms,country
1615,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,01-001,building 1 - main quad,"{""01-001"",""building 1 - main quad"",""building 1""}","{""lat"":37.42780204,""lon"":-122.1696657}",,,,"450 serra mall, building 1",94305,CA,Stanford,,,US
1616,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,01-020,building 20 - main quad,"{""01-020"",""building 20 - main quad"",""building 20, main quad"",""building 20"",""human biology""}","{""lat"":37.42746758,""lon"":-122.16907304}",,,,"450 serra mall, building 20",94305,CA,Stanford,,"{""20-21b"",""20-21c"",""20-21g"",""20-22c"",""20-22p"",""20-22k""}",US
1617,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,01-030,building 30,"{""01-030"",""building 30"",""building 30"",""building 30"",""building 30, main quad"",""lang. cnt."",""language center"",""language center operations"",""spanish"",""stanford language center""}","{""lat"":37.42701665,""lon"":-122.16922417}",,,,"450 serra mall, building 30",94305,CA,Stanford,,"{""30-101"",""30-102""}",US
1618,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,01-010,building 10,"{""01-010"",""building 10"",""building 10"",""building 10, main quad""}","{""lat"":37.4277109,""lon"":-122.16923544}",,,,"450 serra mall, building 10",94305,CA,Stanford,,,US
1619,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,general,page mall,"{""general"",""page mall""}","{""lat"":37.41548043,""lon"":-122.15002221}",,,,,94305,CA,Stanford,,,US
1620,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,01-040,building 40,"{""01-040"",""building 40"",""building 40"",""building 40 - main quad"",""building 40"",""building 40, main quad""}","{""lat"":37.42687504,""lon"":-122.16951609}",,,,"450 serra mall, building 40",94305,CA,Stanford,,"{""40-41e"",""40-41f"",""40-42a"",""40-41j"",""40-42e"",""40-42g""}",US
1621,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,01-050,50-51p,"{""01-050"",""50-51p"",""50-51b"",""50-52e"",""50-52h"",""50-52t"",""building 50"",""building 50"",""building 50 - main quad"",""building 50"",""building 50, main quad""}","{""lat"":37.42696071,""lon"":-122.16991448}",,,,"450 serra mall, building 50",94305,CA,Stanford,,,US
1622,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,01-060,60-107,"{""01-060"",""60-107"",""60-108"",""60-61a"",""60-109"",""60-61f"",""60-61g"",""60-61h"",""60-62a"",""60-62c"",""60-62j"",""60-62l"",""60-62m"",""60-62n"",""60-62p"",""building 60"",""building 60"",""building 60"",""building 60 - main quad""}","{""lat"":37.42715836,""lon"":-122.17085141}",,,,"450 serra mall, building 60",94305,CA,Stanford,,,US
1623,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,01-070,70-72a1,"{""01-070"",""70-72a1"",""building 70"",""building 70"",""buddhist studies"",""building 70"",""building 70, main quad"",""ho center for buddhist studies"",""humanities - religious studies"",""religion"",""religious studies""}","{""lat"":37.42724339,""lon"":-122.17124819}",,,,"450 serra mall, building 70",94305,CA,Stanford,,,US
1624,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,01-080,80-113,"{""01-080"",""80-113"",""80-204"",""80-203"",""80-115"",""80-205"",""building 80"",""building 80"",""building 80 - main quad"",""building 80"",""building 80, main quad"",""hum.bio.""}","{""lat"":37.42748441,""lon"":-122.17141463}",,,,"450 serra mall, building 80",94305,CA,Stanford,,,US
1625,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,01-090,90-92q,"{""01-090"",""90-92q"",""90-91b"",""building 90"",""building 90"",""building 090, main quad"",""building 90"",""philosophy library (tanner)""}","{""lat"":37.42793484,""lon"":-122.1712637}",,,,"450 serra mall, building 90",94305,CA,Stanford,,,US
1626,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,01-100,building 100,"{""01-100"",""building 100"",""building 100 - main quad"",""building 100, main quad"",""building 100"",""linguis"",""philosophy""}","{""lat"":37.42808165,""lon"":-122.17096679}",,,,"450 serra mall, building 100",94305,CA,Stanford,,"{""100-101k"",""100-102k""}",US
1628,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,01-120,"building 120, main quad","{""01-120"",""building 120, main quad"",""mcclatchy hall"",""mendenhall b"",""mendenhall library"",""sociology"",""urban studies""}","{""lat"":37.42831533,""lon"":-122.16949722}",,,,"450 serra mall, building 120",94305,CA,Stanford,,"{""120-101"",""120-215"",""120-314"",""120-410"",""120-414"",""120-450"",""120-59"",""120-s40"",""120-s60"",""120-s64""}",US
1629,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,01-160,"building 160, main quad","{""01-160"",""building 160, main quad"",""legal services"",""learning lab"",""olives @ building 160"",""olives@building 160"",""olives @building 160"",""scil"",""wallenberg hall"",""wallenberg theater"",""wallenberg""}","{""lat"":37.42826985,""lon"":-122.16901666}",,,,"450 serra mall, building 160",94305,CA,Stanford,,"{""160-120"",""160-123"",""160-124"",""160-125"",""160-127"",""160-314"",""160-315"",""160-317"",""160-318"",""160-321"",""160-319"",""160-323"",""160-322"",""160-325"",""160-326"",""160-328"",""160-329"",""160-330"",""160-331"",""160-b36"",""160-b35"",""160-332"",""160-b37"",""160-b38"",""160-b39"",""160-b40""}",US
1630,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,01-170,building 170 - main quad,"{""01-170"",""building 170 - main quad"",""fac dev and diversity office"",""faculty affairs"",""faculty development and diversity"",""faculty development"",""government & community relations"",""government and community relations"",""office of the general counsel"",""university budget office""}","{""lat"":37.42806141,""lon"":-122.16908586}",,,,"450 serra mall, building 170",94305,CA,Stanford,,,US
1631,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,01-200,"building 200, main quad","{""01-200"",""building 200, main quad"",""david potter reading room"",""history and philosophy of science"",""history philosophy of science"",""john d. wirth reading room"",""lane hall"",""lane history corner"",""science, technology & society"",""science, technology and society"",""science, technology, & society""}","{""lat"":37.42807156,""lon"":-122.16855824}",,,,"450 serra mall, building 200",94305,CA,Stanford,,"{""200-013"",""200-002"",""200-015"",""200-030"",""200-032"",""200-105"",""200-034"",""200-107"",""200-124"",""200-201"",""200-203"",""200-202"",""200-217"",""200-205"",""200-219"",""200-230"",""200-302"",""200-303"",""200-305"",""200-246"",""200-307""}",US
1632,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,01-240,building 240 - main quad,"{""01-240"",""building 240 - main quad"",""div lit cultures and languages"",""dlcl operations""}","{""lat"":37.42739711,""lon"":-122.16874137}",,,,"450 serra mall, building 240",94305,CA,Stanford,,"{""240-101"",""240-108"",""240-110"",""240-202"",""240-201""}",US
